,company,diameter,topping,variant,size,extra_sauce,extra_cheese,extra_mushrooms,price
0,0.0,22.0,2.0,8.0,1.0,1.0,1.0,0.0,235000.0
1,0.0,20.0,7.0,8.0,1.0,1.0,1.0,0.0,198000.0
2,0.0,16.0,5.0,8.0,4.0,1.0,1.0,1.0,120000.0
3,0.0,14.0,9.0,8.0,4.0,1.0,0.0,1.0,155000.0
4,0.0,18.0,4.0,8.0,1.0,1.0,0.0,1.0,248000.0
5,0.0,18.5,1.0,3.0,1.0,0.0,0.0,1.0,140000.0
6,0.0,16.0,9.0,3.0,1.0,0.0,1.0,1.0,110000.0
7,0.0,8.0,7.0,3.0,4.0,0.0,0.0,1.0,70000.0
8,0.0,12.0,5.0,3.0,4.0,1.0,0.0,1.0,90000.0
9,0.0,12.0,9.0,3.0,4.0,0.0,0.0,0.0,90000.0
10,0.0,18.5,4.0,18.0,1.0,0.0,0.0,0.0,140000.0
11,0.0,16.0,1.0,18.0,1.0,1.0,1.0,0.0,110000.0
12,0.0,8.0,9.0,18.0,4.0,1.0,1.0,0.0,70000.0
13,0.0,12.0,1.0,18.0,4.0,0.0,1.0,0.0,90000.0
14,0.0,12.0,4.0,18.0,4.0,0.0,1.0,0.0,90000.0
15,0.0,18.5,4.0,13.0,1.0,0.0,1.0,1.0,140000.0
16,0.0,16.0,9.0,13.0,1.0,0.0,1.0,1.0,110000.0
17,0.0,8.0,2.0,13.0,4.0,1.0,1.0,1.0,70000.0
18,0.0,12.0,5.0,13.0,4.0,1.0,1.0,1.0,90000.0
19,0.0,12.0,4.0,13.0,4.0,1.0,1.0,1.0,90000.0
20,0.0,22.0,2.0,7.0,1.0,1.0,1.0,1.0,230000.0
21,0.0,18.5,5.0,7.0,1.0,1.0,1.0,1.0,188000.0
22,0.0,14.0,2.0,7.0,4.0,1.0,1.0,1.0,114000.0
23,0.0,16.5,9.0,7.0,4.0,1.0,0.0,0.0,149000.0
24,0.0,16.5,2.0,7.0,4.0,1.0,0.0,0.0,149000.0
25,1.0,8.5,4.0,4.0,5.0,1.0,0.0,0.0,23500.0
26,1.0,12.0,2.0,4.0,3.0,1.0,0.0,0.0,46000.0
27,1.0,14.0,9.0,4.0,2.0,1.0,0.0,1.0,72000.0
28,1.0,12.0,4.0,5.0,3.0,0.0,0.0,1.0,49000.0
29,1.0,17.0,2.0,15.0,0.0,0.0,1.0,1.0,83000.0
30,1.0,12.0,2.0,6.0,3.0,0.0,1.0,1.0,96000.0
31,1.0,8.5,5.0,4.0,5.0,1.0,1.0,1.0,31000.0
32,1.0,12.0,2.0,4.0,3.0,0.0,1.0,1.0,69000.0
33,1.0,14.0,5.0,4.0,2.0,0.0,1.0,1.0,93000.0
34,1.0,12.0,5.0,5.0,3.0,0.0,1.0,1.0,75000.0
35,1.0,17.0,4.0,15.0,0.0,0.0,1.0,1.0,115000.0
36,1.0,12.0,9.0,6.0,3.0,1.0,1.0,1.0,123000.0
37,1.0,8.5,2.0,4.0,5.0,0.0,1.0,1.0,33000.0
38,1.0,12.0,4.0,4.0,3.0,1.0,1.0,1.0,46000.0
39,1.0,14.0,2.0,4.0,2.0,1.0,1.0,0.0,72000.0
40,1.0,12.0,2.0,5.0,3.0,0.0,0.0,0.0,76000.0
41,1.0,17.0,5.0,15.0,0.0,1.0,0.0,0.0,119000.0
42,1.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,126500.0
43,1.0,8.5,9.0,4.0,5.0,1.0,1.0,0.0,75000.0
44,1.0,12.0,5.0,4.0,3.0,1.0,1.0,0.0,46000.0
45,1.0,14.0,4.0,4.0,2.0,1.0,1.0,0.0,72000.0
46,1.0,12.0,9.0,5.0,3.0,0.0,1.0,0.0,49000.0
47,1.0,17.0,2.0,15.0,0.0,0.0,1.0,0.0,83000.0
48,1.0,12.0,5.0,6.0,3.0,0.0,1.0,0.0,96000.0
49,2.0,8.5,10.0,17.0,5.0,1.0,1.0,1.0,39000.0
50,2.0,12.0,10.0,17.0,3.0,1.0,1.0,1.0,72000.0
51,2.0,14.0,10.0,17.0,2.0,1.0,1.0,1.0,99000.0
52,2.0,8.5,3.0,0.0,5.0,1.0,0.0,1.0,44000.0
53,2.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,78000.0
54,2.0,14.0,3.0,0.0,2.0,1.0,0.0,1.0,105000.0
55,2.0,8.5,8.0,1.0,5.0,0.0,1.0,1.0,39000.0
56,2.0,12.0,8.0,1.0,3.0,1.0,1.0,0.0,72000.0
57,2.0,14.0,8.0,1.0,2.0,0.0,1.0,0.0,99000.0
58,2.0,8.5,5.0,9.0,5.0,1.0,1.0,0.0,35000.0
59,2.0,12.0,6.0,9.0,3.0,1.0,1.0,0.0,60000.0
60,2.0,14.0,4.0,9.0,2.0,1.0,1.0,1.0,98000.0
61,2.0,8.5,3.0,12.0,5.0,1.0,1.0,1.0,35000.0
62,2.0,12.0,3.0,12.0,3.0,1.0,1.0,1.0,60000.0
63,2.0,14.0,3.0,12.0,2.0,1.0,1.0,0.0,98000.0
64,2.0,8.5,11.0,10.0,5.0,0.0,0.0,0.0,44000.0
65,2.0,12.0,11.0,10.0,3.0,0.0,0.0,0.0,78000.0
66,2.0,14.0,11.0,10.0,2.0,0.0,0.0,0.0,105000.0
67,2.0,8.5,11.0,11.0,5.0,0.0,1.0,0.0,28000.0
68,2.0,12.0,11.0,11.0,3.0,0.0,1.0,0.0,51000.0
69,2.0,14.0,11.0,11.0,2.0,1.0,1.0,0.0,84000.0
70,2.0,8.5,11.0,19.0,5.0,0.0,1.0,1.0,39000.0
71,2.0,12.0,11.0,19.0,3.0,1.0,0.0,1.0,72000.0
72,2.0,14.0,11.0,19.0,2.0,0.0,0.0,1.0,99000.0
73,2.0,8.5,0.0,2.0,5.0,1.0,0.0,1.0,35000.0
74,2.0,12.0,0.0,2.0,3.0,1.0,0.0,1.0,60000.0
75,2.0,14.0,0.0,2.0,2.0,1.0,0.0,1.0,98000.0
76,2.0,8.5,10.0,14.0,5.0,1.0,0.0,1.0,32000.0
77,2.0,12.0,10.0,14.0,3.0,1.0,1.0,0.0,54000.0
78,2.0,14.0,10.0,14.0,2.0,1.0,1.0,0.0,92000.0
79,3.0,18.5,4.0,13.0,1.0,0.0,1.0,0.0,140000.0
80,3.0,16.0,9.0,13.0,1.0,0.0,1.0,0.0,110000.0
81,3.0,8.0,2.0,13.0,4.0,1.0,1.0,0.0,70000.0
82,3.0,12.0,5.0,13.0,4.0,1.0,1.0,0.0,90000.0
83,3.0,12.0,4.0,13.0,4.0,1.0,1.0,0.0,90000.0
84,3.0,22.0,2.0,7.0,1.0,1.0,1.0,1.0,230000.0
85,3.0,18.5,5.0,7.0,1.0,1.0,1.0,1.0,188000.0
86,3.0,14.0,2.0,7.0,4.0,1.0,1.0,1.0,114000.0
87,3.0,16.5,9.0,7.0,4.0,1.0,0.0,1.0,149000.0
88,3.0,16.5,2.0,7.0,4.0,1.0,0.0,1.0,149000.0
89,3.0,8.5,4.0,4.0,5.0,1.0,0.0,1.0,23500.0
90,3.0,12.0,2.0,4.0,3.0,1.0,0.0,1.0,46000.0
91,3.0,14.0,9.0,4.0,2.0,1.0,0.0,1.0,72000.0
92,3.0,12.0,4.0,5.0,3.0,0.0,0.0,1.0,49000.0
93,3.0,17.0,2.0,15.0,0.0,0.0,1.0,1.0,83000.0
94,3.0,12.0,2.0,6.0,3.0,0.0,1.0,0.0,96000.0
95,3.0,8.5,5.0,4.0,5.0,1.0,1.0,0.0,31000.0
96,3.0,12.0,2.0,4.0,3.0,0.0,1.0,0.0,69000.0
97,3.0,14.0,5.0,4.0,2.0,0.0,1.0,0.0,93000.0
98,3.0,12.0,5.0,5.0,3.0,0.0,1.0,1.0,75000.0
99,4.0,17.0,4.0,15.0,0.0,0.0,1.0,1.0,115000.0
100,4.0,8.5,4.0,4.0,5.0,1.0,0.0,1.0,23500.0
101,4.0,12.0,2.0,4.0,3.0,1.0,0.0,1.0,46000.0
102,4.0,14.0,9.0,4.0,2.0,1.0,0.0,0.0,72000.0
103,4.0,12.0,4.0,5.0,3.0,0.0,0.0,0.0,49000.0
104,4.0,17.0,2.0,15.0,0.0,0.0,1.0,0.0,83000.0
105,4.0,12.0,2.0,6.0,3.0,0.0,1.0,0.0,96000.0
106,4.0,8.5,5.0,4.0,5.0,1.0,1.0,0.0,31000.0
107,4.0,12.0,2.0,4.0,3.0,0.0,1.0,1.0,69000.0
108,4.0,14.0,5.0,4.0,2.0,0.0,1.0,1.0,93000.0
109,4.0,12.0,5.0,5.0,3.0,0.0,1.0,1.0,75000.0
110,4.0,17.0,4.0,15.0,0.0,0.0,1.0,1.0,115000.0
111,4.0,12.0,9.0,6.0,3.0,1.0,1.0,1.0,123000.0
112,4.0,8.5,2.0,4.0,5.0,0.0,1.0,1.0,33000.0
113,4.0,12.0,4.0,4.0,3.0,1.0,1.0,1.0,46000.0
114,4.0,14.0,2.0,4.0,2.0,1.0,1.0,1.0,72000.0
115,4.0,12.0,2.0,5.0,3.0,0.0,0.0,1.0,76000.0
116,4.0,17.0,5.0,15.0,0.0,1.0,0.0,0.0,119000.0
117,4.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,126500.0
118,4.0,8.5,9.0,4.0,5.0,1.0,1.0,0.0,75000.0
119,4.0,12.0,5.0,4.0,3.0,1.0,1.0,0.0,46000.0
120,4.0,14.0,4.0,4.0,2.0,1.0,1.0,0.0,72000.0
121,4.0,12.0,9.0,5.0,3.0,0.0,1.0,0.0,49000.0
122,4.0,17.0,2.0,15.0,0.0,0.0,1.0,0.0,83000.0
123,4.0,12.0,5.0,6.0,3.0,0.0,1.0,1.0,96000.0
124,4.0,8.5,10.0,16.0,5.0,1.0,1.0,1.0,39000.0
125,4.0,12.0,10.0,16.0,3.0,1.0,1.0,1.0,72000.0
126,4.0,14.0,10.0,16.0,2.0,1.0,1.0,1.0,99000.0
127,4.0,8.5,3.0,0.0,5.0,1.0,0.0,1.0,44000.0
128,4.0,12.0,3.0,0.0,3.0,0.0,0.0,1.0,78000.0
